firm_id,date,roe,debt_ratio,gross_margin,inventory_turnover,current_ratio,cash_shortterm,total_assets
tesla,2025/5/28,0.10950004665540905,0.099900107,0.16309982566254902,5.300000032006011,1.9999997674799905,36995.99999990026,125110.99999989873
tesla,2025/5/29,0.10949982993485982,0.09990004,0.16310006613731087,5.300000228,1.999999744228351,36996,125111.00000000748
tesla,2025/5/30,0.10949997118763968,0.099900273,0.16309981792808256,5.299999884226909,1.999999778227535,36996.00000019838,125111.00000025866
tesla,2025/5/31,0.10949988517184647,0.099900018,0.16309990175523525,5.2999998916069595,1.9999998537960353,36996,125110.99999999395
tesla,2025/6/1,0.10950010197398154,0.099900233,0.16309998537688258,5.299999942885723,2.0000002040239484,36996.000000097534,125111.00000022925
tesla,2025/6/2,0.10950009918174153,0.099900075,0.1630997683126037,5.300000231916437,2.0000001223378487,36995.99999986988,125111.00000000122
tesla,2025/6/3,0.10950020161652509,0.099900223,0.16310013697501155,5.300000214197213,2.000000209778439,36996.00000000834,125110.99999972538
tesla,2025/6/4,0.10949976873739453,0.099900239,0.1631001923482456,5.299999778726708,1.999999883069605,36996.00000025513,125111.00000029878
tesla,2025/6/5,0.10950020246776251,0.099900236,0.16310001051991635,5.300000290305869,2.0000000823211606,36995.99999992913,125110.99999971385
tesla,2025/6/6,0.10950017199734839,0.099899799,0.16310020097826436,5.299999977937364,2.000000272571062,36995.999999846055,125111.00000017878
tesla,2025/6/7,0.10949985626669628,0.099900239,0.16309985597864068,5.3000002646043125,2.0000002011844993,36996.000000060245,125111.00000023287
tesla,2025/6/8,0.10949978371248054,0.099900029,0.16310026367293787,5.300000263431498,1.9999999570542908,36996.000000206834,125111.00000027414
tesla,2025/6/9,0.10949972074871087,0.099900242,0.1630998035161138,5.299999911878787,2.0000002052230426,36996.000000211316,125110.99999970311
tesla,2025/6/10,0.10950018414286326,0.09989977,0.16309978646037923,5.300000091,1.9999997721551452,36996.000000139684,125110.99999973651
tesla,2025/6/11,0.10949983429102947,0.099899746,0.16310002667592283,5.300000025679432,2.0000001542675334,36995.99999978281,125110.99999997678
tesla,2025/6/12,0.10950018950454256,0.099899914,0.16309984219280013,5.299999899884193,1.9999997852638753,36995.99999990849,125110.99999976378
tesla,2025/6/13,0.10950006368428805,0.099900157,0.1631001664906165,5.300000169299659,2.0000001796409688,36996.00000028265,125111.0000000383
tesla,2025/6/14,0.10950021384635852,0.099900195,0.16310028890266295,5.300000097002576,2.000000207299278,36996.000000102904,125111.0000001022
tesla,2025/6/15,0.10950015077342595,0.099900053,0.16309999840812323,5.299999815802306,2.0000001334922963,36995.999999785075,125111.00000008298
