firm_id,date,interest_rate,inflation_rate,policy_uncertainty_index,commodity_index
tesla,2024/9,0.012601683947794769,0.017001087903360097,119.99997946210678,0.016998318676156716
tesla,2024/10,0.012599960301153583,0.0169996354967239,120.00000626674124,0.01699906738045041
tesla,2024/11,0.012601102830601993,0.016999428219985867,120.00000525911913,0.01699903717503401
tesla,2024/12,0.0125998241134837,0.01699982100583079,119.99998516133051,0.017000170191218567
tesla,2025/1,0.01259937395136076,0.016999399416535155,120.0000023706779,0.017000674539868147
tesla,2025/2,0.012601004953261486,0.016999608362226675,119.99998860370059,0.016999502436471633
tesla,2025/3,0.012599684548624295,0.01699914797922217,119.9999987892203,0.016998674728202105
tesla,2025/4,0.01259997911891966,0.01700098542954337,120.00001730127323,0.01699890306487621
tesla,2025/5,0.012600161526503582,0.017003660569492755,119.99998966428448,0.016998070828248234
tesla,2025/6,0.01260015119061959,0.016999796627892087,119.99998246753509,0.017000962066815024
